mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
24.257944202423097,0.3271148338097797,0.2589415073394775,0.0268635338743118,,1,2,500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.34379128356847505,0.31308798847588565,0.3310918854824794,0.32865597575443717,0.36466352201335556,0.3362581310589266,0.01723341514589755,8
55.64278645515442,5.912276493446996,0.5834529876708985,0.16903999222034313,,1,2,1000,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.34854264231080395,0.31240542873852,0.33460749771509296,0.330324555812099,0.36547678016102153,0.33827138094750747,0.017839597025218756,3
111.70231547355652,6.833693656041521,1.0234013080596924,0.15275279229580746,,1,2,1500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1500}",0.348592357354518,0.3104955150490974,0.33391538483351163,0.33084150791107947,0.36412451408642726,0.33759385584692675,0.017990487973772378,5
152.10502285957335,4.859026720349773,1.1788055896759033,0.1352388779336875,,1,2,2000,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 2000}",0.3474779638119321,0.31231113400323635,0.33354210780567356,0.3318210218400427,0.3662692784119186,0.3382843011745606,0.017925123008106378,2
34.40515842437744,0.9006264516108582,0.20401535034179688,0.02526970775893558,,1,5,500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.3314756653215775,0.2977934956143958,0.32026337169840957,0.31648853155693996,0.35239880279605273,0.3236839733974751,0.01799468604632956,34
62.60519919395447,1.7647417893087518,0.3155089855194092,0.018439846902663027,,1,5,1000,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1000}",0.3317023760446307,0.29908243947538665,0.3243596485871906,0.3142686312136284,0.3460663811688101,0.32309589529792926,0.01586113776574046,40
96.73852124214173,3.58067540909098,0.8947112083435058,0.23193386490692855,,1,5,1500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1500}",0.3304787910116777,0.2948767682905363,0.3210176430029122,0.3157775582897186,0.348369541979722,0.32210406051491336,0.017564407207526486,44
142.2025074005127,4.40789956871571,0.8659149169921875,0.08987769328696163,,1,5,2000,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 2000}",0.3321969961410532,0.2961214307712207,0.32327382011155087,0.31587155332952943,0.35048414166944847,0.3235895884045605,0.01795311628695371,36
33.90026798248291,0.7732780942991031,0.16061067581176758,0.0194834145254367,,1,10,500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.31669233398781643,0.2847563729806885,0.31012211941759726,0.30587909459392887,0.3369347241542573,0.3108769290268577,0.016856210466695887,103
66.43684339523315,1.0418822302121071,0.34230670928955076,0.03712907139207992,,1,10,1000,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1000}",0.31743438145908015,0.2855315010166231,0.31235391162324627,0.30315293917771485,0.3360977681002419,0.31091410027538124,0.016633197018369614,102
95.34042067527771,1.9281566739112523,0.4542987823486328,0.01924872594987988,,1,10,1500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1500}",0.31692649706408255,0.2857873555560704,0.3114836545832581,0.3056729243826623,0.33569125617139384,0.3111123375514934,0.016180281186613236,101
124.5905529499054,1.8968767690572728,0.6606791496276856,0.08490004398251667,,1,10,2000,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 2000}",0.31900619394515595,0.28553739225402297,0.3111266462094508,0.30442942071006157,0.33590738682367327,0.3112014079884729,0.016587990708194084,98
31.21109046936035,0.828298493975659,0.18868498802185057,0.02025970949740178,,2,2,500,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.3323273074737818,0.3092540758727781,0.3242630479435754,0.3184894315237902,0.35050326246009406,0.3269674250548039,0.01396865599139405,21
62.931237649917605,0.5797692707029495,0.34389581680297854,0.02847534464216813,,2,2,1000,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}",0.3351782134219774,0.3088188844772058,0.324300697790163,0.317465012855557,0.3515675376617778,0.32746606924133614,0.01481969063622851,18
90.06547818183898,1.137490720078306,0.5535085678100586,0.02219924190482492,,2,2,1500,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1500}",0.3360725887704761,0.30924956064330905,0.3247159816761226,0.31842637723328726,0.3526635885049905,0.3282256193656371,0.015014811169041005,14
121.93603467941284,2.821740886199634,0.9184828758239746,0.2139926542477105,,2,2,2000,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 2000}",0.33668992449623847,0.307785228734007,0.3254554377348524,0.31832663325388,0.3520897496219204,0.32806939476817965,0.015261012712729496,15
30.364244747161866,0.40186746833748227,0.15478644371032715,0.009934859429750998,,2,5,500,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.32945092358046,0.30693744734834766,0.3210258815632076,0.3138856940027359,0.34889311957318414,0.32403861321358707,0.014502743080785165,33
