Name,Lat,Long,Depth
tkswzv,-12.80326,45.426279,30.911621
tksywk,-12.915216,45.395475,38.084961
tktaid,-12.840739,45.442058,31.14209
tkteqt,-12.82368,45.383041,18.351074
tktjhe,-12.834208,45.344856,24.112793
tktseb,-12.765462,45.431742,38.084961
tktsyp,-12.877063,45.399866,37.508789
tktyas,-12.782445,45.446113,35.43457
tkuefw,-12.833245,45.397064,31.977539
tkukyw,-12.844794,45.337633,26.071777
tkupfr,-12.815982,45.426977,32.006348
tkurkm,-12.799223,45.342407,35.204102
tkuuxb,-12.878223,45.271665,28.981445
tkuvux,-12.732934,45.41884,32.78418
tkuybo,-12.80529,45.641918,34.858398
tkuyiv,-12.818085,45.416893,24.458496
tkvfie,-12.733587,45.387888,34.455078
tkvjyy,-12.808004,45.316108,35.520996
tkvmcu,-12.810962,45.384504,31.430176
tkvuym,-12.85863,45.366772,36.702148
tkvzhc,-12.793683,45.404336,31.055664
tkwbrk,-12.80496,45.387036,32.208008
tkwcbl,-12.784508,45.410832,36.298828
tkwcsb,-12.807028,45.358951,33.994141
tkwdhk,-12.786221,45.380231,26.820801
tkwkge,-12.788015,45.395707,31.631836
tkwqwd,-12.827149,45.348471,24.631348
tkwslp,-12.782726,45.401836,32.98584
tkwsyy,-12.812942,45.311778,40.36084
tkwzcc,-12.765679,45.600197,38.084961
tkxarc,-12.734651,45.389685,39.611816
tkxcie,-12.800836,45.457603,25.754883
tkxdfw,-12.745656,45.420258,37.624023
tkxsfn,-12.756583,45.404042,32.294434
tkxvoy,-12.747383,45.39686,32.812988
tkxxhb,-12.863905,45.353438,33.677246
tkxyvc,-12.840608,45.365726,37.537598
tkxzvq,-12.774812,45.326978,36.442871
tkyntl,-12.738324,45.282066,36.702148
tkyore,-12.761422,45.582924,39.352539
tkyvpc,-12.817354,45.402494,32.812988
tkzdxd,-12.786926,45.379509,28.145996
tkzevi,-12.809793,45.327265,40.908203
tlbqxg,-12.8574,45.477678,40.850586
tlcdlm,-12.820863,45.388806,31.660645
tlckqu,-12.782707,45.391037,37.595215
tlcoyz,-12.753976,45.332421,40.504883
tldfbg,-12.822861,45.324717,39.035645
tldvnw,-12.773731,45.316542,41.081055
tldwli,-12.765308,45.58256,35.060059
tlenst,-12.779327,45.289172,38.891602
tleqfb,-12.839222,45.657732,29.788086
tlfnlk,-12.843059,45.35384,44.999023
tlfurq,-12.791269,45.439979,25.61084
tlfvkz,-12.882753,45.421463,39.237305
tlfxvg,-12.758169,45.309376,32.899414
tlghoq,-12.793325,45.401097,31.257324
tlhazo,-12.78342,45.394635,30.73877
tlherw,-12.829912,45.316782,41.686035
tlhghl,-12.795174,45.451852,31.516602
tlhmpz,-12.770743,45.419855,37.07666
tlhtfm,-12.791951,45.424858,30.393066
tlhxrt,-12.748829,45.415573,37.019043
tlhyfb,-12.780749,45.293488,34.743164
tligjm,-12.826062,45.335152,45.459961
tliqkd,-12.805073,45.352655,23.810303
tlivop,-12.801141,45.427002,39.784668
tljche,-12.781226,45.600181,38.776367
tljevc,-12.763717,45.445063,31.775879
tljoqe,-12.850156,45.369669,31.286133
tlkbfg,-12.775346,45.425966,33.245117
tlklqu,-12.757003,45.444714,28.05957
tlkskq,-12.739964,45.397233,36.47168
tlldqc,-12.833232,45.389864,27.598633
tllpdn,-12.834648,45.391301,34.973633
tllxcy,-12.864346,45.401329,34.743164
tllyay,-12.738146,45.368804,28.952637
tlmmlr,-12.837627,45.487789,25.293945
tlnmdl,-12.812967,45.324018,37.768066
tlojet,-12.837182,45.426941,29.70166
tloxwx,-12.764531,45.310082,33.994141
tlqmpg,-12.736328,45.341815,40.908203
tlrhqg,-12.758913,45.327371,37.912109
tlrwhl,-12.769631,45.389981,25.40918
tlslsk,-12.836601,45.512634,36.846191
tltbbp,-12.798167,45.344209,15.182129
tlurbp,-12.780804,45.319406,35.895508
tluwri,-12.796882,45.41549,33.273926
tlvisx,-12.815265,45.421218,33.562012
tlvsdk,-12.78631,45.432067,36.327637
tlvyhn,-12.80133,45.335923,37.220703
tlwakb,-12.812965,45.323298,36.327637
tlwdbj,-12.780634,45.418398,29.989746
tlwebw,-12.772163,45.424172,30.911621
tlwycg,-12.812543,45.489626,29.70166
tlxfyt,-12.825789,45.377276,41.397949
tlxlmn,-12.802543,45.4198,30.393066
tlyjnz,-12.783399,45.383116,42.492676
tlyxjg,-12.774323,45.449365,34.541504
tlzgwh,-12.814827,45.372617,41.081055
tmbcii,-12.802531,45.4126,30.969238
tmbhlc,-12.86252,45.368565,23.997559
tmbnus,-12.791956,45.427738,27.396973
tmbscx,-12.761941,45.439667,33.302734
tmbujm,-12.811906,45.32366,45.69043
tmbuwk,-12.801666,45.326922,26.878418
tmccpv,-12.798463,45.315769,39.986328
tmcfdk,-12.820918,45.420489,29.874512
tmcmik,-12.750859,45.36518,27.85791
tmcoye,-12.825637,45.300229,41.858887
tmduze,-12.834688,45.414344,32.438477
tmdzbs,-12.769637,45.39286,36.586914
tmecyc,-12.829317,45.374389,32.467285
tmeoid,-12.75675,45.3065,36.241211
tmepqo,-12.777093,45.414084,33.158691
tmevnt,-12.732887,45.391488,33.245117
tmfxeg,-12.797651,45.454368,29.70166
tmfyyb,-12.714356,45.309471,41.887695
tmgqem,-12.821635,45.426968,26.187012
tmgzzb,-12.797613,45.429888,35.23291
tmhdzw,-12.776521,45.299257,41.657227
tmhmnu,-12.787737,45.440704,31.026855
tmhvkx,-12.826025,45.31643,36.47168
tmhypc,-12.851174,45.347702,24.228027
tmichk,-12.783819,45.421632,30.825195
tmiewu,-12.833532,45.360699,36.385254
tmijgl,-12.778185,45.433161,31.516602
tmirun,-12.800579,45.313604,35.43457
tmjaiz,-12.751149,45.332426,36.010742
tmjknp,-12.769319,45.413378,31.891113
tmjogr,-12.773985,45.459085,43.500977
tmjugh,-12.755919,45.429958,31.487793
tmjvsy,-12.857436,45.299439,44.624512
tmkjxc,-12.825422,45.63218,32.409668
tmkrev,-12.780662,45.435676,24.112793
tmkvst,-12.815933,45.398176,24.285645
tmleim,-12.801588,45.289482,38.056152
tmloyq,-12.769652,45.401499,32.78418
tmmito,-12.608069,45.343154,16.910645
tmmnlc,-12.800975,45.334843,32.640137
tmnety,-12.777159,45.45512,43.702637
tmnfzb,-12.779433,45.341007,40.043945
tmnnhu,-12.787686,45.409746,33.158691
tmnxdz,-12.772463,45.392855,30.94043
tmnybc,-12.817749,45.427334,35.319336
tmodde,-12.787629,45.377348,32.236816
tmoemq,-12.814555,45.419059,39.32373
tmonzs,-12.819148,45.418691,39.352539
tmopdz,-12.779804,45.591544,40.389648
tmoxpz,-12.787001,45.422707,37.191895
tmprjb,-12.82079,45.349203,22.614746
tmpthf,-12.752168,45.162538,49.262695
tmpvdu,-12.740344,45.412709,27.281738
tmpwlc,-12.75022,45.402614,32.294434
tmpymq,-12.82924,45.334065,38.171387
tmqayd,-12.803119,45.347079,27.339355
tmqbpl,-12.806472,45.446074,35.204102
tmqdmr,-12.775156,45.322298,36.125977
tmqfsl,-12.794812,45.446453,31.257324
tmqidf,-12.776895,45.308976,31.660645
tmqkhz,-12.837844,45.400297,32.179199
tmqodk,-12.804122,45.318637,39.294922
tmqrnx,-12.826547,45.406077,23.76709
tmqxfw,-12.847783,45.427644,30.10498
tmroyl,-12.758037,45.428515,41.225098
tmruud,-12.826147,45.379796,40.620117
tmrvul,-12.759632,45.333849,32.668945
tmsafc,-12.737712,45.549478,37.422363
tmskya,-12.80211,45.374081,31.516602
tmsxjg,-12.749558,45.429249,37.249512
tmtdio,-12.82477,45.39996,36.125977
tmtkxo,-12.792329,45.440337,37.739258
tmtuej,-12.798665,45.425207,33.994141
tmukun,-12.798605,45.681163,35.809082
tmuukm,-12.830403,45.677541,15.643066
tmuvnl,-12.770931,45.329506,39.006836
tmuxfz,-12.773596,45.436408,28.26123
tmwbwh,-12.718759,45.394393,44.077148
tmwibr,-12.823016,45.407524,35.060059
tmxnvc,-12.814773,45.343815,36.010742
tmxwqz,-12.812091,45.424464,23.911133
tmypip,-12.773466,45.361537,26.071777
tmysql,-12.819444,45.669268,26.561523
tmzcei,-12.813666,45.320416,37.422363
tmzqih,-12.803279,45.437799,34.656738
tmzskv,-12.808188,45.41475,32.928223
tnahdr,-12.786139,45.435847,31.329346
tnajwf,-12.816948,45.640108,21.692871
tnbavw,-12.829316,45.373669,29.240723
tnbbdu,-12.793162,45.31542,40.130371
tncawn,-12.785213,45.410111,35.780273
tndltg,-12.825093,45.663503,31.74707
tneihe,-12.823376,45.411484,24.602539
tnemxz,-12.745976,45.400462,25.898926
tnerjr,-12.775114,45.30214,37.27832
tnfdfc,-12.777091,45.412645,30.911621
tnfgqp,-12.841508,45.643148,18.711182
tngfxb,-12.743101,45.373113,33.504395
tnggoq,-12.749471,45.37886,34.42627
tngtww,-12.771369,45.373779,29.471191
tngumk,-12.821195,45.648025,25.20752
tnhaly,-12.739549,45.363043,39.727051
tnhbqw,-12.760065,45.375241,36.039551
tnhelv,-12.779494,45.372684,37.163086
tnhnmk,-12.738809,45.345769,34.311035
tnhpgo,-12.775632,45.38673,33.562012
tnhqtx,-12.771008,45.369821,37.163086
tnicfd,-12.727853,45.344711,34.224609
tnidvi,-12.843522,45.414689,30.854004
tniega,-12.750968,45.427087,23.997559
tnijqd,-12.767116,45.366589,34.599121
tniksp,-12.767599,45.442537,35.607422
tnipas,-12.76995,45.370903,34.368652
tnjqrp,-12.806426,45.417273,30.594727
tnjvei,-12.763677,45.420587,34.887207
tnjwlg,-12.812098,45.428784,30.249023
tnkegy,-12.818092,45.421213,30.10498
tnkfht,-12.844085,45.336195,41.686035
tnkviu,-12.752566,45.333863,39.006836
tnlbix,-12.837021,45.337649,34.887207
tnlkoz,-12.811814,45.626612,19.719482
tnlpno,-12.855377,45.32897,41.16748
tnlzoh,-12.761487,45.490599,9.838135
tnmbyc,-12.776575,45.325175,41.311523
tnmjff,-12.800779,45.421603,38.776367
tnmpru,-12.754111,45.232719,13.856934
tnmrpf,-12.834565,45.346656,50.299805
tnnfrz,-12.775156,45.322298,38.084961
tnnhyo,-12.782775,45.431353,32.121582
tnnjaa,-12.791145,45.367982,34.599121
tnnvac,-12.803539,45.382718,32.78418
tnopmv,-12.80636,45.655957,35.63623
tnosnb,-12.775356,45.431726,37.739258
tnotdw,-12.834617,45.374019,36.356445
tnoulv,-12.820619,45.454692,33.014648
tnozql,-12.772254,45.286308,39.467773
tnpdro,-12.8303,45.333703,40.620117
tnpeot,-12.823324,45.660264,32.640137
tnpkgk,-12.694607,45.328225,46.49707
tnpsek,-12.812064,45.408623,32.553711
tnpyjz,-12.8038,45.334117,23.133301
tnpyzd,-12.809114,45.340947,38.891602
tnqavb,-12.743836,45.388948,37.07666
tnqgxp,-12.807853,45.425911,35.319336
tnqlrp,-12.796929,45.444289,27.85791
tnqugw,-12.82627,45.453242,35.319336
tnqxim,-12.853036,45.399909,40.96582
tnrhsw,-12.795014,45.358255,35.665039
tnrnrb,-12.848065,45.670327,30.220215
tnrxvf,-12.828262,45.648739,20.367676
tnsaal,-12.804229,45.640839,17.371582
tnswzl,-12.781461,45.295647,40.908203
tntiqf,-12.75862,45.608843,42.463867
tnttff,-12.804668,45.422676,40.130371
tnupvn,-12.830505,45.450355,39.237305
tnuwte,-12.753914,45.302187,38.661133
tnvybm,-12.74968,45.305075,35.088867
tnwxzy,-12.740865,45.314092,43.184082
tnxwyc,-12.796262,45.277614,34.62793
tnyeta,-12.766916,45.457656,38.891602
tnzcwm,-12.838345,45.29444,39.035645
tnzgxu,-12.870138,45.490623,41.196289
tnzkuq,-12.814733,45.323654,34.858398
tnzlhd,-12.817727,45.414374,35.665039
tnzqhd,-12.794642,45.348536,30.911621
tnzqvt,-12.758947,45.344648,40.677734
tnzskb,-12.765193,45.289204,40.504883
tnzusi,-12.761552,45.417711,24.112793
tnzxru,-12.819507,45.421931,34.311035
tnzyxu,-12.793302,45.388137,32.812988
toajgb,-12.778168,45.423082,43.155273
toajty,-12.846705,45.416484,28.462891
toaprr,-12.78916,45.447182,32.467285
toaylt,-12.840353,45.421535,29.557617
tobeyb,-12.758219,45.333852,38.200195
tobjxp,-12.77454,45.369094,47.707031
tobphf,-12.810347,45.438507,26.187012
tobprd,-12.848461,45.410359,32.870605
tocekd,-12.78301,45.619258,25.783691
tocidx,-12.790366,45.330545,34.541504
tocklj,-12.825445,45.661703,33.101074
tocrqs,-12.773166,45.390694,41.369141
toctqe,-12.785609,45.435668,30.911621
tocuzy,-12.827309,45.439919,23.709473
todgnk,-12.667345,45.301297,32.98584
todhfv,-12.805012,45.417276,24.256836
toeabi,-12.783246,45.304642,41.858887
toessu,-12.820902,45.411128,23.190918
toezyt,-12.808925,45.433469,29.355957
tofhka,-12.769414,45.280555,38.430664
toftiq,-12.787694,45.414786,41.282715
tofwfz,-12.796302,45.296334,33.821289
tofwqa,-12.761538,45.409072,36.097168
toggju,-12.79474,45.402534,29.874512
togzxb,-12.835709,45.391659,29.932129
tohjmu,-12.783356,45.359358,31.257324
tohjsg,-12.762878,45.368037,35.924316
tohnoo,-12.767444,45.35327,25.005859
tohwpe,-12.870498,45.294009,36.183594
tohxbm,-12.819131,45.408611,39.352539
toiahb,-12.805223,45.339155,20.88623
toilwk,-12.811544,45.319701,35.290527
toipcv,-12.806112,45.341853,22.946045
tojaet,-12.838932,45.417217,25.870117
tojayx,-12.813775,45.376579,21.52002
tojdpi,-12.86272,45.291866,36.817383
tojgio,-12.813865,45.429141,19.733887
tojhpq,-12.806406,45.405753,32.438477
tojhzl,-12.776874,45.298897,35.809082
tojpoy,-12.699343,45.404864,31.54541
tojuvj,-12.863861,45.331113,40.36084
tojwbs,-12.839304,45.428378,30.508301
tojxxq,-12.80796,45.295228,33.850098
tojzls,-12.761131,45.378478,20.454102
tokbcg,-12.81483,45.374057,16.536133
tokdcp,-12.755777,45.591569,39.237305
tokemy,-12.801586,45.288762,37.307129
toknew,-12.81276,45.402142,33.994141
tokzao,-12.851453,45.310614,39.467773
tolbpa,-12.789044,45.378066,26.763184
toldhe,-12.830744,45.660619,32.323242
tolryz,-12.784164,45.416232,31.257324
tomkgs,-12.823938,45.332996,36.298828
tommsv,-12.81196,45.351021,38.776367
tomnvk,-12.7862,45.368712,24.688965
tompmu,-12.797971,45.433128,38.776367
tomyhj,-12.857327,45.430148,34.282227
tomzqk,-12.826079,45.343792,36.932617
tongev,-12.832098,45.349901,39.093262
tonhjm,-12.747741,45.399379,39.755859
tonkli,-12.853759,45.40927,38.027344
tonlta,-12.7695,45.32087,39.583008
tonnkz,-12.826559,45.413278,24.919434
tonsqq,-12.773069,45.33886,29.615234
tonvox,-12.740322,45.399752,32.697754
tooaqd,-12.803937,45.408278,31.084473
toohfq,-12.875705,45.432998,37.624023
tookej,-12.722662,45.404103,44.509277
toontw,-12.833578,45.385902,29.874512
tooupz,-12.779728,45.311849,35.002441
tooxze,-12.808068,45.348509,36.327637
topasw,-12.853481,45.45572,19.561035
tophiq,-12.770922,45.325186,38.200195
toplil,-12.777124,45.432803,35.866699
topwqf,-12.762943,45.404031,33.850098
topyqs,-12.828863,45.322184,38.661133
toqnyq,-12.783838,45.433151,37.047852
toqple,-12.834241,45.362138,28.779785
toqtfp,-12.788998,45.353587,22.441895
torcms,-12.804782,45.296315,42.233398
tosujc,-12.811563,45.329061,41.16748
tosxaf,-12.823682,45.666385,19.532227
tosydf,-12.779439,45.343887,40.15918
toszys,-12.808949,45.44859,30.854004
totwgr,-12.812496,45.457224,39.727051
totznd,-12.822303,45.403925,27.224121
toufnt,-12.810703,45.440307,33.360352
touvbr,-12.823911,45.537133,21.347168
touymj,-12.789143,45.436382,34.714355
tovgfs,-12.817938,45.336248,40.591309
tovknt,-12.786484,45.560219,28.664551
towaxy,-12.796525,45.412971,28.405273
towgci,-12.809576,45.399627,39.611816
towind,-12.629695,45.660411,19.04248
towjxe,-12.687674,45.710024,21.001465
townbx,-12.882055,45.426505,22.355469
toxcxo,-12.807275,45.30531,39.093262
toxnee,-12.821925,45.681147,33.677246
toxpyb,-12.888588,45.32746,39.784668
toxtwj,-12.794106,45.446454,32.524902
tozeyx,-12.788087,45.438904,30.364258
tozmef,-12.753752,45.401888,22.32666
